assignment_id,agreement,image,most_common_class,most_common_verdict,verdicts,classes,final_verdict,comment
00022bd050--6376993af63f4544851ceccd,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.9fb712b4-0f75-4429-b99b-90ff57d002ea.jpg,knife,yes,"Counter({'yes': 5, 'other': 1})",Counter({'knife': 6}),ACCEPT,good job
00022bd050--6376993b56a5a54ced73aa96,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.ea2650c8-e517-4fe5-a17a-cf7d876a388e.jpg,knife,yes,"Counter({'yes': 5, 'other': 1})",Counter({'knife': 6}),ACCEPT,good job
00022bd050--6376994d801461320b5c6cd7,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.f23a564a-0920-4b93-8897-f9456b844a43.jpg,fork,yes,"Counter({'yes': 5, 'other': 1})","Counter({'fork': 5, 'spoon': 1})",ACCEPT,good job
00022bd050--6376994d8ccdeb4a26d4b98c,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.9911b382-693b-4c13-83df-714fd7a5805b.jpg,cup,yes,"Counter({'yes': 5, 'other': 1})",Counter({'cup': 6}),ACCEPT,good job
00022bd050--6376994db88cb76558c195c0,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.26e02875-fc64-4367-87be-465b3651a08e.jpg,spoon,yes,"Counter({'yes': 5, 'other': 1})",Counter({'spoon': 6}),ACCEPT,good job
00022bd050--6376995156a5a54ced73ae8d,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.98daa9d3-16e1-46c2-9a6a-dd3e1b515188.jpg,fork,yes,"Counter({'yes': 5, 'other': 1})","Counter({'fork': 5, 'spoon': 1})",ACCEPT,good job
00022bd050--637699538cae8c05c8195773,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.42170f5c-9470-4229-a462-17a6e43531f0.jpg,knife,yes,"Counter({'yes': 5, 'other': 1})",Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769957ea9fec14e37ba085,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c28b122b-5df6-41a9-9133-07a039603760.jpg,plate,yes,"Counter({'yes': 4, 'other': 2})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--6376995a659b106910852029,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.4302ce3d-cfd8-445a-b694-20890bf610be.jpg,fork,yes,"Counter({'yes': 5, 'other': 1})","Counter({'fork': 5, 'spoon': 1})",ACCEPT,good job
00022bd050--6376995b838d535336900506,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.2bdd0c2a-03dc-4969-ae97-919ded8e0253.jpg,fork,yes,"Counter({'yes': 5, 'other': 1})","Counter({'fork': 5, 'spoon': 1})",ACCEPT,good job
00022bd050--6376995dee7d356a0869e6c1,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.d9e547df-d878-4ba7-bc3b-7aba2620f877.jpg,knife,yes,Counter({'yes': 5}),Counter({'knife': 5}),ACCEPT,good job
00022bd050--63769966d3c878690bc9cc75,0.6,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.9771d642-fd7f-4ddf-bf59-34c0d993c114.jpg,other,internet,"Counter({'internet': 2, 'yes': 2, 'other': 1})","Counter({'other': 3, 'fork': 1, 'spoon': 1})",REJECT,doesn't satisfy the requrements
00022bd050--63769974b58f5e17ab56f3de,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.bc124765-a727-403c-9393-6912d9546540.jpg,glass,yes,Counter({'yes': 5}),Counter({'glass': 5}),ACCEPT,good job
00022bd050--6376997eea9fec14e37ba6e5,0.6,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.40741cdd-d1bd-4c34-8faf-4c2a4fea6de2.jpg,cup,yes,Counter({'yes': 5}),"Counter({'cup': 3, 'glass': 2})",ACCEPT,good job
00022bd050--637699828897471c9a865c27,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.2a9a49fd-701f-4519-876b-2d4e68af5ea3.jpg,spoon,yes,Counter({'yes': 5}),Counter({'spoon': 5}),ACCEPT,good job
00022bd050--6376998c659b106910852126,0.8,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.3657721d-ae72-46cb-b789-c8a317dd139e.jpg,knife,yes,Counter({'yes': 5}),"Counter({'knife': 4, 'other': 1})",ACCEPT,good job
00022bd050--6376998d7adbfb533ecf2826,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.64de51bf-d3a0-46db-99a1-c05fc57e3bfb.jpg,plate,yes,Counter({'yes': 5}),Counter({'plate': 5}),ACCEPT,good job
00022bd050--6376999bea9fec14e37baae2,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.70aa7425-7693-4e80-8fa8-bd510138f417.jpg,spoon,yes,Counter({'yes': 5}),Counter({'spoon': 5}),ACCEPT,good job
00022bd050--6376999dea9fec14e37bab11,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e0968077-fb3d-4859-b9ef-0b3e3385a9a0.jpg,knife,yes,Counter({'yes': 5}),Counter({'knife': 5}),ACCEPT,good job
00022bd050--637699a1bdfa5861cdf04bae,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.93fec2cc-bc0e-491c-bf6c-e5a1f27961b9.jpg,other,other,"Counter({'other': 4, 'yes': 1})",Counter({'other': 5}),REJECT,doesn't satisfy the requrements
00022bd050--637699a26b2d840c16ea232f,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8b17dd17-07f0-4cb9-bcdf-d80e14c90b48.jpg,cup,yes,Counter({'yes': 5}),Counter({'cup': 5}),ACCEPT,good job
00022bd050--637699a27c35c13555f3a143,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.1c2d0768-093b-4a2a-88b7-8c1fe08d78af.jpg,fork,yes,Counter({'yes': 5}),Counter({'fork': 5}),ACCEPT,good job
00022bd050--637699b75a4d4b776b120d06,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8749b2cb-d835-43ea-b530-41c9b91fa99b.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--637699b9838d535336900745,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.9063e966-cd13-453e-98bd-e6d3a7319b25.jpg,other,yes,Counter({'yes': 6}),"Counter({'other': 4, 'cup': 1, 'plate': 1})",REJECT,doesn't satisfy the requrements
00022bd050--637699c36b2d840c16ea2451,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.3feb80b3-47d7-488f-ba54-e9ce618b1956.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--637699c414cd5667368bc9dc,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.a41927b5-a7e9-41cd-8e15-3bc41a799edf.jpg,other,other,"Counter({'other': 3, 'internet': 3})",Counter({'other': 6}),REJECT,doesn't satisfy the requrements
00022bd050--637699d37c35c13555f3a241,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.d33e4e9e-4f42-4935-8544-0f8b16c55438.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--637699d447f33832e643e070,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.4cff894a-9d84-433d-8cb5-928ba1e0d641.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 5, 'spoon': 1})",ACCEPT,good job
00022bd050--637699db1455e654a91a81ac,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.f6f0a512-67ad-406e-9a71-26a68502a548.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--637699db659b1069108522db,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.6911409f-d23d-4f73-92b8-884dc43e83b6.jpg,spoon,yes,Counter({'yes': 6}),Counter({'spoon': 6}),ACCEPT,good job
00022bd050--637699ddb88cb76558c1995b,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8662c52b-5dad-479c-a93a-bcaf1d690fdb.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--637699e73501693ae6553516,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.642c8bed-705a-4454-9f8e-b52f9ca8d17a.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--637699ed7545ab02b681ce14,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.5ba3a050-a41e-442b-b950-a349385d912a.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--637699f079b5e5168cf47a27,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.05aaf296-67dd-4cec-870b-5f3e159e8388.jpg,fork,yes,Counter({'yes': 6}),"Counter({'fork': 5, 'knife': 1})",ACCEPT,good job
00022bd050--637699f08feaf022830f9185,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e975ebf6-50b6-460b-a994-964093a4138b.jpg,plate,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--637699f7b1ad940367f1d4bb,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.5a16e22c-a9e7-47c7-a3a0-0509ab6fa584.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--637699f819c2d72a00a6ad17,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8acea7b7-da7d-4b54-804a-919f50d5cc9f.jpg,plate,yes,Counter({'yes': 6}),"Counter({'plate': 4, 'other': 2})",ACCEPT,good job
00022bd050--637699f9ee7d356a0869ead4,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.fa2b70a0-2ead-4885-afbc-324234f3f393.jpg,glass,yes,Counter({'yes': 6}),Counter({'glass': 6}),ACCEPT,good job
00022bd050--63769a0a7c35c13555f3a409,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.13f4e85a-6c58-40df-8f26-c44e01dc3adb.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 4, 'glass': 2})",ACCEPT,good job
00022bd050--63769a0dea9fec14e37bbb7e,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.f62c13cc-7f25-4f53-904b-f7fc1d95bf45.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a127adbfb533ecf2c4a,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c9f303cb-3f99-43e5-be55-cb298003eac2.jpg,other,other,"Counter({'other': 4, 'yes': 2})",Counter({'other': 6}),REJECT,doesn't satisfy the requrements
00022bd050--63769a1edb0e8f36d8e299a5,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.7a6cf206-3e88-43ef-a52c-957ffb84c4c6.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a2056a5a54ced73ce22,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.7aa566d6-e679-4928-9023-44345b7369d8.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 5, 'glass': 1})",ACCEPT,good job
00022bd050--63769a20ea9fec14e37bbd97,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.0056d8cf-bff9-47d0-b892-453599187f34.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a2679b5e5168cf47f17,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e1e5e7c7-5131-4ca4-b4e8-3559c7dc884d.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a296b2d840c16ea275c,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c446bc74-724c-4782-b1ee-2bfff74b4138.jpg,plate,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a321455e654a91a8447,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.0ea8c949-b86c-4d5c-a269-fdbdc6e74530.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a3356a5a54ced73d13c,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8b83149e-8db2-4d95-af19-bc0d1ecce892.jpg,glass,yes,Counter({'yes': 6}),Counter({'glass': 6}),ACCEPT,good job
00022bd050--63769a3ed23d9327ecf20ffb,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.763bfa3d-3294-439d-b3ca-cefb9b485bdd.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 5, 'glass': 1})",ACCEPT,good job
00022bd050--63769a46b1ad940367f1d692,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.5901e957-9a1d-4ce7-9fbf-855c98963dd6.jpg,glass,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'glass': 6}),ACCEPT,good job
00022bd050--63769a4d5a4d4b776b121101,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.b1cc01b4-ed7e-482c-8dfd-c51ae7560669.jpg,plate,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a503903154c8bb180d3,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.da4d87a5-8b2e-48eb-9393-22411ba015d5.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a5214cd5667368bce09,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.cc9e6c2a-ef00-4e9e-918e-844e87e3591f.jpg,plate,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a52d23d9327ecf21250,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.250c4bcd-ba44-40bd-ab31-7dd40a465b3a.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a55801461320b5c7382,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.eea20e2b-c56b-40b4-9503-99d5cd5165ec.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a5ad23d9327ecf212d1,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.4ca206ff-74f1-481e-b6b3-19b15b37a6e9.jpg,cup,yes,"Counter({'yes': 5, 'internet': 1})","Counter({'cup': 5, 'plate': 1})",ACCEPT,good job
00022bd050--63769a5de3847d75ff7c685a,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.b633c9c1-17a4-4c41-a3d2-3ead0a59c593.jpg,plate,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a60d23d9327ecf2132a,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e1b4ceab-9b47-460d-a59a-b6198ca390a9.jpg,knife,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769a64bdfa5861cdf05127,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.25865bc9-0c0a-4613-90a9-0b22a3d7a920.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a657545ab02b681d14f,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.67c1884c-8091-428d-b4bb-059d62566d0d.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a66ee7d356a0869ee8f,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.46d62100-f434-4879-aab3-058a085d595f.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a6c79b5e5168cf484ed,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.4c380c16-6bf6-4c5a-b66f-fd68be427d80.jpg,spoon,yes,"Counter({'yes': 5, 'internet': 1})",Counter({'spoon': 6}),ACCEPT,good job
00022bd050--63769a6db58f5e17ab56faf0,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c1bcd66d-8e2c-4617-b7a3-cb5b4f7efad5.jpg,spoon,yes,Counter({'yes': 6}),Counter({'spoon': 6}),ACCEPT,good job
00022bd050--63769a6e56a5a54ced73d7dc,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e43a6d6c-f0f7-48d2-9e11-e6e70e58421e.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769a7119b2bc661e1ef933,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.b9b78fd2-2e95-4e76-a34b-0efb72ea8047.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--63769a71ebd2c7014fd6a5e3,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.4f57b572-130e-455d-ae4f-cb4484f20187.jpg,spoon,yes,Counter({'yes': 6}),"Counter({'spoon': 5, 'cup': 1})",ACCEPT,good job
00022bd050--63769a7414cd5667368bcf5b,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.6aa69255-7cb3-4054-acfe-70e155385f88.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a773903154c8bb181e7,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.56b9e3b6-100d-469b-9094-81a689dc106a.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a77b1ad940367f1d7be,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.eb380252-67d2-4446-b3d4-a0ed25371863.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a77bb79c0321f718088,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8f82d172-11a0-425c-9352-cdb291244d4e.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a7a5a4d4b776b121269,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.70ac1fc0-f6d9-428b-ad3f-38a668aae728.jpg,plate,yes,Counter({'yes': 6}),"Counter({'plate': 5, 'cup': 1})",ACCEPT,good job
00022bd050--63769a801455e654a91a8666,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.4502a6d5-32f4-41ae-9d4d-e085d2190be9.jpg,plate,yes,Counter({'yes': 6}),Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769a8456a5a54ced73da64,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.118a2e8c-f356-4621-a537-8485f69011b9.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a84b1ad940367f1d851,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.10b74e4f-0b4a-426f-a5c5-ed144df66bd5.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769a8779b5e5168cf486d4,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.284d1182-9191-40c7-bffa-49e2e067ed0b.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769a8aea9fec14e37bc77a,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.25f002dc-9e5b-41f7-ae50-02f68a89eec7.jpg,glass,yes,Counter({'yes': 6}),"Counter({'glass': 4, 'other': 2})",ACCEPT,good job
00022bd050--63769a8e441f157a2a442a3f,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.e3f9dc74-d5a2-4b8d-a512-fe766cd085e4.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 5, 'glass': 1})",ACCEPT,good job
00022bd050--63769a93bb79c0321f718182,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.93ded115-cb93-4c4d-ae72-186e2170fb18.jpg,glass,yes,Counter({'yes': 6}),"Counter({'glass': 4, 'other': 2})",ACCEPT,good job
00022bd050--63769aa2f63f4544851cfb27,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.96afd056-72df-429b-9c83-0a88a3cb7de8.jpg,other,yes,"Counter({'yes': 5, 'other': 1})","Counter({'other': 4, 'plate': 1, 'cup': 1})",REJECT,doesn't satisfy the requrements
00022bd050--63769aa6aabecc6bd16fa0d3,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.8b6e3713-45d6-4e56-aae0-b0d9d73a2b4a.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 5, 'glass': 1})",ACCEPT,good job
00022bd050--63769aa9ebd2c7014fd6a959,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.a69713c8-5794-43a6-b614-89594297e159.jpg,plate,yes,Counter({'yes': 6}),"Counter({'plate': 4, 'cup': 1, 'other': 1})",ACCEPT,good job
00022bd050--63769aaa8408eb4b99991728,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.46c6ad0f-34bc-4fb0-ae88-f2fb1021c248.jpg,cup,yes,Counter({'yes': 6}),"Counter({'cup': 5, 'glass': 1})",ACCEPT,good job
00022bd050--63769aac47f33832e643e560,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.f60c6275-d1fc-41c3-81b6-b08fb0238284.jpg,spoon,yes,Counter({'yes': 6}),"Counter({'spoon': 5, 'fork': 1})",ACCEPT,good job
00022bd050--63769ab119c2d72a00a6b314,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c73fb55b-0d8f-4e29-9b72-81ce6bc4c1f8.jpg,glass,yes,Counter({'yes': 6}),Counter({'glass': 6}),ACCEPT,good job
00022bd050--63769ab1bdfa5861cdf053c6,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.c88d66d0-a07c-4063-bacb-e58241cd1e15.jpg,fork,yes,Counter({'yes': 6}),Counter({'fork': 6}),ACCEPT,good job
00022bd050--63769ab2bb79c0321f7182db,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.6844b375-dac9-452b-8b09-4ffb05a2ed52.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--63769abd8ab0c64deb65a79c,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.570f0d22-a20f-4dc5-9457-33a213f0d5cf.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--63769abdea9fec14e37bcae3,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.ba2c199f-b83f-45ae-8139-0dea92da0337.jpg,cup,yes,Counter({'yes': 6}),Counter({'cup': 6}),ACCEPT,good job
00022bd050--63769ac08ccdeb4a26d4c3d3,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.431a5462-8321-4bf5-9230-e032116d9462.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769ac39376542ef77d309c,0.6666666666666666,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.51144ab7-c1a7-480a-adbc-90983803244f.jpg,other,other,"Counter({'other': 5, 'yes': 1})","Counter({'other': 4, 'glass': 2})",REJECT,doesn't satisfy the requrements
00022bd050--63769ac779b5e5168cf48b78,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.a578532f-de98-40c3-8e2e-0287ce831ca4.jpg,knife,yes,Counter({'yes': 6}),Counter({'knife': 6}),ACCEPT,good job
00022bd050--63769acaebd2c7014fd6ab45,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.fc24a76c-1d9e-4c9b-bae8-5c75bb3f739f.jpg,spoon,yes,Counter({'yes': 6}),Counter({'spoon': 6}),ACCEPT,good job
00022bd050--63769ada6b2d840c16ea2bee,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.a99d773c-4774-495c-b215-822a75d7e77c.jpg,spoon,yes,Counter({'yes': 6}),Counter({'spoon': 6}),ACCEPT,good job
00022bd050--63769ada7545ab02b681d498,1.0,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.fdd26916-ba81-493b-a94d-536b9a17e2ab.jpg,plate,yes,"Counter({'yes': 5, 'other': 1})",Counter({'plate': 6}),ACCEPT,good job
00022bd050--63769adaea9fec14e37bcd90,0.8333333333333334,https://toloka-kitchenware.s3.eu-west-1.amazonaws.com/36425808/thumbnails/eu.b6c7ea0a-a0fe-470a-90ed-e7c1804cdf5d.jpg,plate,yes,Counter({'yes': 6}),"Counter({'plate': 5, 'other': 1})",ACCEPT,good job
